Classifier,Train_sizes,Train_scores,Validation_scores
15-NN,346,"[0.5251095774365636, 0.4855606192752551, 0.5246056425486131, 0.5068911865874721, 0.5158343743647957, 0.48673121031746036, 0.5674751044759628, 0.524174783065842, 0.448078274722272, 0.4916557309457262]","[0.5108228038638756, 0.4903434038063105, 0.45605440136743614, 0.5178759178124143, 0.49897130007280355, 0.5116232774172907, 0.4946761026583834, 0.454615483369518, 0.508866945440068, 0.4686467776389583]"
15-NN,692,"[0.5806577605641107, 0.568083429930868, 0.598793676285574, 0.5958784915451296, 0.5663253301071081, 0.5992254490704044, 0.6058777457277229, 0.5867891847672885, 0.539190511074921, 0.5739187634629471]","[0.5246677049497618, 0.5369337188565114, 0.5060815126025705, 0.5373741218458695, 0.5380767535201194, 0.4905276274955659, 0.47440477606145015, 0.43334759969421244, 0.5203253836335607, 0.5369095548275533]"
15-NN,1384,"[0.6182058138249438, 0.5944365008420116, 0.6209052869777065, 0.5877749976675278, 0.612815424802862, 0.5909917967946601, 0.6103026161809694, 0.5942809258706064, 0.5737699550570008, 0.6023652379850609]","[0.570024744908779, 0.5998704571132836, 0.5875624155824133, 0.5431718492208392, 0.5783955585703596, 0.5450820662121734, 0.5790491699941005, 0.5172493773877055, 0.5735294590207093, 0.5682892602126098]"
15-NN,2076,"[0.6493795744640672, 0.6319764916993778, 0.6431535328892353, 0.6239832224652907, 0.635341122097516, 0.6387875990327917, 0.6303775552733187, 0.6364450277851944, 0.6356838621645929, 0.6344607763663165]","[0.5504502615099449, 0.5959196692925948, 0.5635025266345709, 0.5764597039162701, 0.6103689924340716, 0.5333275694710303, 0.6019482980805018, 0.5587286522020634, 0.6250620239024665, 0.615432830015254]"
15-NN,2769,"[0.6649983042434905, 0.6573050972933778, 0.6505277544732453, 0.6607124494906529, 0.6639015755706692, 0.6507574210196658, 0.657810267037087, 0.6641014032284559, 0.6522800852210453, 0.6580088914571209]","[0.5787016866239234, 0.6194821555667391, 0.6219108603448528, 0.5829648526588385, 0.5874134991036418, 0.6247574176016266, 0.624847426166903, 0.5725410399602495, 0.6324881301488462, 0.623692676720955]"
15-NN,3461,"[0.6586335133031709, 0.6605581110405135, 0.6640969034306795, 0.667404007278986, 0.6643889044718102, 0.6612496993409904, 0.6676595411891244, 0.6734166719758655, 0.6566437431379245, 0.6535620852216134]","[0.5746975377583349, 0.6221276738255367, 0.6186727724381557, 0.5869696951731509, 0.6224259396920531, 0.6134919547732974, 0.6478161173841394, 0.5530958987927398, 0.6054857336210155, 0.6502747606746023]"
15-NN,4153,"[0.67572243873651, 0.6518930139422022, 0.6666647232614498, 0.6721464575209076, 0.6647861491322928, 0.6664723529669938, 0.6750136645558545, 0.6778681062281121, 0.6668639630207807, 0.6534036328072886]","[0.5734418946168118, 0.6254274971646754, 0.6443748034177295, 0.6140282512802833, 0.6310000534010557, 0.5783955585703596, 0.6440978594509691, 0.53690915155661, 0.5936625660186625, 0.6579315902196872]"
15-NN,4846,"[0.675456544495824, 0.6580489578091666, 0.6592129441176279, 0.6654603625766571, 0.6651194995810513, 0.6729228497160149, 0.6693742084188057, 0.6687185672048781, 0.6633511504689632, 0.6590784763486902]","[0.5873155112312574, 0.6341966960790132, 0.632846987182419, 0.5852827653134286, 0.6310000534010557, 0.5903518676981652, 0.6439955297844586, 0.5624599895429446, 0.637066166457187, 0.6363586830061563]"
15-NN,5538,"[0.6733151874920537, 0.6611354706534265, 0.6634088588861156, 0.6599572857477626, 0.6636487433651845, 0.6636993874690432, 0.6616931299065044, 0.6709124233239925, 0.661404969932339, 0.6555522342292206]","[0.5912886803320825, 0.6679549081695877, 0.6450793007174682, 0.5844826087084736, 0.6319558425296938, 0.621283648912904, 0.6515868144201196, 0.544195555801904, 0.6363264865477148, 0.6414181967448995]"
15-NN,6230,"[0.669174761738189, 0.6603013868481131, 0.6617425811031773, 0.6635476391087376, 0.6672926968990208, 0.6674468740285616, 0.6650616249178244, 0.6719407673377761, 0.6669424464507429, 0.6628853110271916]","[0.5900530745421909, 0.6522148185173984, 0.6560262844136363, 0.5861106003612626, 0.6275806334751861, 0.6181852745040322, 0.651736282180531, 0.5745368831239318, 0.6362770460785394, 0.6574980528059169]"
