sex,age,statebrn,placebrn,marstat,edyrs,occ,usyrl,usdurl,usdocl,usstatel,usplacel,usoccl,usbyl,ustrips,reltrip,paistrip,sport,social,chicanos,blacks,anglos,latinos,lodging,english,finhelp,bankacct,remit1,remit2,remit3,remit4,remit5,savings1,savings2,savings3,savings4,savings5,schools,unemp,foodst,welfare,doctor,hospital,uswagel_adj_2019,rent_adj_2019,food_adj_2019,remit_adj_2019,savings_adj_2019,savretrn_adj_2019
1.0,67.0,31.0,0.0,2.0,6.0,410.0,1964.0,72.0,2.0,144.0,3360.0,410.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,0.0,6.0,2.0,1.0,2.0,8888.0,8888.0,8888.0,1.0,3.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,8.500170827677293,316.55808599625783,70.34624133250173,586.2186777708479,,1758.6560333125435
1.0,51.0,32.0,0.0,2.0,4.0,721.0,1991.0,1.0,1.0,105.0,6920.0,410.0,1.0,17.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,4.0,2.0,,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,1.0,2.0,2.0,2.0,1.0,1.0,12.200958149779735,262.7898678414097,375.4140969162996,0.0,563.1211453744494,3754.140969162996
1.0,90.0,17.0,0.0,2.0,6.0,10.0,1954.0,6.0,2.0,144.0,7777.0,410.0,,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,8888.0,8888.0,8888.0,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,957.5168539325844,383.00674157303376,0.0,957.5168539325844
1.0,29.0,5.0,35.0,2.0,8.0,810.0,1987.0,36.0,4.0,105.0,7777.0,549.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,0.0,4.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,1.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,18.54506735751296,,,,,
1.0,30.0,11.0,0.0,2.0,1.0,529.0,1980.0,12.0,8.0,144.0,3360.0,549.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,0.0,4.0,2.0,8.0,11.0,8888.0,8888.0,8888.0,14.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,0.0,,,266.6361349693252
1.0,71.0,14.0,0.0,2.0,6.0,52.0,1997.0,2.0,1.0,105.0,8735.0,52.0,,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,1.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,1.0,1.0,2.0,2.0,2.0,1.0,,305.80980861244024,366.9717703349282,214.06686602870815,0.0,0.0
1.0,41.0,20.0,0.0,3.0,3.0,830.0,1996.0,24.0,8.0,105.0,5945.0,812.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,4.0,6.0,8888.0,8888.0,6.0,8888.0,8888.0,8888.0,8888.0,2.0,1.0,1.0,1.0,2.0,2.0,,,,0.0,,
1.0,31.0,1.0,0.0,2.0,6.0,410.0,1998.0,3.0,8.0,106.0,2080.0,,1.0,5.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,1.0,2.0,8888.0,8888.0,8888.0,2.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,8.36261214953271,318.57570093457946,382.2908411214953,0.0,0.0,0.0
1.0,85.0,16.0,0.0,4.0,0.0,410.0,1944.0,3.0,2.0,105.0,,410.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,6.0,2.0,,,,,,16.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.345724852071006,216.1090448013525,172.887235841082,1080.5452240067625,972.4907016060864,
1.0,51.0,20.0,0.0,2.0,6.0,410.0,2008.0,84.0,8.0,105.0,4480.0,540.0,1.0,1.0,2.0,1.0,,,1.0,0.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,1.0,8888.0,8888.0,8888.0,2.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,19.114542056074768,,,318.57570093457946,,
1.0,34.0,10.0,7.0,2.0,3.0,410.0,1978.0,10.0,8.0,105.0,4480.0,810.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,2.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,15.513167475728157,0.0,0.0,0.0,,1551.3167475728155
1.0,46.0,21.0,0.0,2.0,6.0,,1986.0,366.0,8.0,105.0,4480.0,,,1.0,1.0,1.0,,,,,,,4.0,,4.0,,,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,,2.0,,,,,,,,,,
1.0,46.0,21.0,0.0,2.0,1.0,410.0,1994.0,12.0,8.0,129.0,4120.0,711.0,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,1.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,47.51988847583644,950.3977695167288,356.3991635687733,1187.9972118959108,1187.9972118959108,14255.96654275093
1.0,35.0,16.0,9.0,3.0,0.0,529.0,1988.0,30.0,1.0,105.0,4480.0,549.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,6.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,1.0,2.0,2.0,2.0,2.0,,0.0,,,,
1.0,28.0,32.0,0.0,2.0,10.0,559.0,1988.0,99.0,8.0,105.0,4480.0,810.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,1.0,2.0,1.0,2.0,1.0,1.0,8.147131931166347,391.0623326959847,391.0623326959847,0.0,0.0,0.0
1.0,49.0,15.0,0.0,2.0,6.0,546.0,2005.0,6.0,1.0,131.0,5460.0,812.0,1.0,6.0,,,2.0,2.0,1.0,0.0,0.0,2.0,,0.0,,2.0,10.0,1.0,8888.0,8888.0,8888.0,2.0,13.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,353.85051903114186,,
1.0,75.0,16.0,0.0,2.0,2.0,412.0,1960.0,96.0,2.0,105.0,7120.0,410.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,8888.0,8888.0,8888.0,4.0,3.0,8888.0,8888.0,8888.0,1.0,2.0,2.0,1.0,2.0,1.0,,0.0,0.0,712.457327580201,,
1.0,45.0,14.0,0.0,2.0,0.0,529.0,1973.0,6.0,8.0,144.0,,410.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,2.0,,0.0,0.0,,,
1.0,46.0,19.0,0.0,2.0,6.0,410.0,1998.0,42.0,3.0,144.0,4880.0,410.0,,2.0,,,2.0,1.0,0.0,0.0,1.0,1.0,,0.0,,2.0,1.0,12.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,148.4651567944251,,1484.651567944251
1.0,63.0,22.0,3.0,2.0,3.0,410.0,1982.0,15.0,8.0,144.0,7777.0,410.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,12.0,11.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,671.0157480314961,,5032.618110236221
1.0,31.0,6.0,0.0,2.0,18.0,713.0,1988.0,3.0,8.0,105.0,4480.0,549.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,3.0,6.0,1.0,8888.0,8888.0,8888.0,8888.0,8888.0,7.0,9.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,2.0,12.59309109311741,120.75566801619436,258.7621457489879,517.5242914979758,0.0,0.0
1.0,66.0,14.0,109.0,2.0,0.0,529.0,1944.0,24.0,2.0,105.0,7360.0,529.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,15.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,0.0,,,,
1.0,37.0,17.0,0.0,3.0,12.0,830.0,1988.0,24.0,8.0,105.0,5945.0,546.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8888.0,8888.0,8888.0,,,,,,2.0,2.0,2.0,2.0,1.0,1.0,106.12177358490568,,1447.1150943396228,2990.7045283018865,96.47433962264152,19294.867924528306
1.0,63.0,29.0,0.0,2.0,3.0,410.0,1960.0,48.0,2.0,123.0,,410.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,2.0,3.0,1.0,15.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
1.0,25.0,12.0,0.0,2.0,9.0,559.0,1993.0,18.0,8.0,105.0,4480.0,549.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,0.0,4.0,2.0,11.0,2.0,8888.0,8888.0,8888.0,2.0,8.0,11.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,35.93572289156627,2053.4698795180725,385.0256024096386,0.0,668.6611295180722,12537.46034939759
1.0,35.0,11.0,0.0,2.0,9.0,710.0,2000.0,3.0,8.0,105.0,6920.0,526.0,3.0,2.0,,,2.0,2.0,0.0,0.0,0.0,2.0,,1.0,,2.0,1.0,8888.0,8888.0,8888.0,8888.0,1.0,12.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,577.4297007340487,72.17871259175608,72.17871259175608,144.35742518351216,,
1.0,40.0,16.0,0.0,2.0,6.0,410.0,1990.0,11.0,1.0,105.0,5945.0,549.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,11.0,16.0,8888.0,8888.0,8888.0,11.0,16.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,0.0,241.1858490566038,482.3716981132076
1.0,53.0,16.0,0.0,2.0,2.0,410.0,1970.0,3.0,8.0,114.0,1600.0,524.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,4.0,0.0,6.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,12.410533980582525,930.7900485436892,620.5266990291262,1551.3167475728155,310.2633495145631,15513.167475728154
1.0,34.0,30.0,0.0,3.0,9.0,410.0,2002.0,4.0,8.0,144.0,3360.0,523.0,,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,12.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,1.0,8.907909407665505,148.4651567944251,222.6977351916377,222.6977351916377,,4453.954703832753
1.0,25.0,11.0,0.0,2.0,7.0,552.0,2000.0,7.0,8.0,144.0,,520.0,3.0,2.0,,,2.0,2.0,0.0,0.0,0.0,1.0,,2.0,,2.0,3.0,8888.0,8888.0,8888.0,8888.0,3.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,477.8635514018692,238.9317757009346,191.14542056074765,238.9317757009346,,9557.271028037385
1.0,59.0,31.0,0.0,2.0,3.0,410.0,2002.0,72.0,8.0,138.0,6440.0,522.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,6.0,2.0,1.0,8888.0,8888.0,8888.0,8888.0,12.0,1.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,12.681398809523811,507.2559523809524,507.2559523809524,253.6279761904762,,
1.0,30.0,15.0,0.0,3.0,9.0,410.0,2002.0,24.0,8.0,118.0,,410.0,,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,4.0,0.0,6.0,2.0,1.0,10.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,,277.8880434782609,555.7760869565218,277.8880434782609,,
1.0,24.0,29.0,0.0,2.0,9.0,20.0,2002.0,6.0,8.0,151.0,7777.0,526.0,1.0,2.0,,,1.0,2.0,1.0,0.0,1.0,2.0,,0.0,,2.0,1.0,15.0,8888.0,8888.0,8888.0,1.0,15.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,2.0,13.035411089866155,,,488.8279158699809,,325.8852772466539
1.0,50.0,21.0,0.0,2.0,6.0,410.0,1997.0,216.0,8.0,105.0,4480.0,711.0,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,8888.0,8888.0,8888.0,8888.0,3.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,10.429871083550914,,,1042.987108355091,,
1.0,33.0,11.0,0.0,2.0,7.0,810.0,1993.0,6.0,1.0,123.0,,810.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,6.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,1.0,1.0,18.54506735751296,132.46476683937823,132.46476683937823,529.8590673575129,0.0,7947.886010362694
1.0,28.0,21.0,0.0,3.0,9.0,525.0,2003.0,84.0,8.0,138.0,7777.0,721.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,
