Classifier,Train_sizes,Train_scores,Validation_scores
7-NN,308,"[0.6053201755399402, 0.5811380789147745, 0.6011904459746844, 0.6261294415862494, 0.6268492303134078, 0.6026522383037978, 0.5391442076098225, 0.6242211263466894, 0.6264487582763751, 0.579162106107128]","[0.45817931156758906, 0.4011224465592939, 0.5081830175472846, 0.4510508637137032, 0.5526781435390965, 0.5392362576091428, 0.470080739118991, 0.5292374795210512, 0.39509570467169364, 0.46259287807671035]"
7-NN,616,"[0.6914874487119002, 0.6969657150530749, 0.6748648769766467, 0.7226293566268749, 0.7180134351613027, 0.6913974445380323, 0.6850296365962593, 0.7015421833787091, 0.6908014172188855, 0.6708490758202861]","[0.4943107479477174, 0.4943107479477174, 0.5952720438804466, 0.5527316122473866, 0.5903721314445305, 0.5973989821221728, 0.5827208154826241, 0.5850811525579155, 0.5225660510881444, 0.5536028743926017]"
7-NN,1233,"[0.7723246942212902, 0.7845189903933619, 0.7656618640412166, 0.782673886854069, 0.7785829500213507, 0.7803579361836207, 0.7845443696143678, 0.7656618640412166, 0.7740326934858397, 0.7573634687192279]","[0.5665868729224031, 0.5102052072293938, 0.5824752127229313, 0.5122992013571854, 0.5492912554481234, 0.624813094965086, 0.6020179997287065, 0.5976020719966558, 0.5276579348476419, 0.6054129195440545]"
7-NN,1849,"[0.7637512694594817, 0.7511471894267104, 0.7579010935869456, 0.7674085090407649, 0.7762254262695798, 0.7631783857931914, 0.7768324087727677, 0.7506917315391675, 0.7607638993912611, 0.7484229820328259]","[0.5461258083690284, 0.5334519304723537, 0.6248317186267536, 0.5108926190557667, 0.5500181213823184, 0.6402717598928989, 0.6176783704860966, 0.6167157396119944, 0.5478373948540224, 0.5933334036321242]"
7-NN,2466,"[0.7648269223847438, 0.7613921509062312, 0.7652999301619933, 0.7703300513191373, 0.7715673207416366, 0.7542393404122137, 0.7706085901986621, 0.7657639108899984, 0.7659337922025686, 0.7529204154711827]","[0.5394260418858585, 0.5855575268250185, 0.5998000000445186, 0.530887559438752, 0.5602989741982893, 0.6409599002237581, 0.6484930402793718, 0.6114962876877615, 0.5446941510618333, 0.5979813890253881]"
7-NN,3083,"[0.7462197037680219, 0.7379339467527661, 0.7426359699059032, 0.7545463655428611, 0.7414672042467866, 0.7358928979051386, 0.7410759780795727, 0.7356698332739746, 0.7284472138403734, 0.7342709015725201]","[0.5363539753910906, 0.5527486560146987, 0.607945908770469, 0.5389887832131856, 0.5711948902932035, 0.6562419157736209, 0.635593364848822, 0.6071589058043252, 0.569353370609011, 0.6151130072545703]"
7-NN,3699,"[0.7374229601587506, 0.7363205037770306, 0.7459055328348794, 0.7417203852859815, 0.7358192630386454, 0.7295249266519974, 0.7350953976927594, 0.7291142590631764, 0.7285027309056561, 0.7285825819402516]","[0.5636814402335836, 0.5700534234644923, 0.6193959863153162, 0.5597621339845684, 0.6236199751374052, 0.6569853235777782, 0.6330552086835416, 0.6206080159489726, 0.613686872691225, 0.6176065793506776]"
7-NN,4316,"[0.7275430079417928, 0.7215938766372775, 0.7342508330882801, 0.7340153903618617, 0.7255710087627022, 0.7120960729442789, 0.7232208964723931, 0.719325839491649, 0.7209390207334084, 0.7195939575451419]","[0.5756697646366542, 0.5721444120936575, 0.6064862711395598, 0.5676912257449782, 0.6079550255357945, 0.667083056499638, 0.6723743559117764, 0.6514121322642898, 0.6343628188298012, 0.6020179997287065]"
7-NN,4932,"[0.7235690640392165, 0.7132242539805579, 0.7270509676216863, 0.7248305552255707, 0.7160549335974205, 0.7014487902705921, 0.7161116879512605, 0.7131085764126623, 0.7120131893491566, 0.7124419071321644]","[0.573269951144123, 0.5896739466944677, 0.6023447946135722, 0.5743946644065417, 0.6131986682518854, 0.667083056499638, 0.6470852440492834, 0.6401793854234274, 0.6331768518964501, 0.5986297248031542]"
7-NN,5549,"[0.7190778914883443, 0.7107029135963339, 0.7233300504865505, 0.7163156448924759, 0.7153385613145474, 0.704465538359413, 0.7143959831685057, 0.7061203519387782, 0.7082935043838106, 0.7085813649293564]","[0.5821094701106433, 0.5827847433085029, 0.636238931642689, 0.596966779414987, 0.6064487377469636, 0.6600046443745898, 0.6473984243246452, 0.6228007605366647, 0.637174167837486, 0.6062563181596575]"
