sex,age,statebrn,placebrn,marstat,edyrs,occ,usyrl,usdurl,usdocl,usstatel,usplacel,usoccl,usbyl,ustrips,reltrip,paistrip,sport,social,chicanos,blacks,anglos,latinos,lodging,english,finhelp,bankacct,remit1,remit2,remit3,remit4,remit5,savings1,savings2,savings3,savings4,savings5,schools,unemp,foodst,welfare,doctor,hospital,uswagel_adj_2019,rent_adj_2019,food_adj_2019,remit_adj_2019,savings_adj_2019,savretrn_adj_2019
1.0,45.0,11.0,0.0,2.0,0.0,529.0,1977.0,12.0,8.0,105.0,7320.0,529.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,172.50809716599193,268.4062992125984,325.8852772466539,70.14590605502156,675.1505281690141
1.0,54.0,11.0,0.0,2.0,0.0,410.0,1954.0,3.0,8.0,105.0,4480.0,410.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,3.516471747211896,0.0,0.0,0.0,0.0,380.1591078066915
1.0,44.0,11.0,0.0,2.0,4.0,549.0,1962.0,2.0,2.0,105.0,8735.0,410.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0,3.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,8.46546357615894,172.50809716599193,268.4062992125984,677.2370860927153,70.14590605502156,675.1505281690141
1.0,49.0,11.0,0.0,2.0,3.0,522.0,1973.0,6.0,8.0,114.0,1600.0,810.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.0,4.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,17.27412162162162,0.0,0.0,1151.608108108108,1151.608108108108,5758.040540540541
1.0,59.0,11.0,0.0,2.0,3.0,522.0,1966.0,12.0,8.0,105.0,4480.0,410.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,3.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,0.0,268.4062992125984,157.81296296296298,70.14590605502156,1183.5972222222224
1.0,23.0,11.0,0.0,2.0,9.0,410.0,1988.0,2.0,8.0,105.0,4480.0,410.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,172.50809716599193,268.4062992125984,325.8852772466539,70.14590605502156,675.1505281690141
1.0,37.0,11.0,0.0,1.0,6.0,410.0,1984.0,48.0,8.0,114.0,1600.0,549.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,8888.0,8888.0,8888.0,8888.0,2.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,14.76363811357074,738.1819056785371,984.242540904716,984.242540904716,246.06063522617904,675.1505281690141
1.0,41.0,11.0,0.0,2.0,6.0,522.0,1986.0,6.0,5.0,199.0,4480.0,549.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,8888.0,8888.0,8888.0,8888.0,8888.0,5.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,1.0,2.0,2.0,5.831592153284673,46.65273722627738,0.0,0.0,233.2636861313869,1399.5821167883214
1.0,31.0,11.0,0.0,2.0,6.0,142.0,1978.0,12.0,8.0,105.0,4480.0,549.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,11.0,8888.0,8888.0,8888.0,8888.0,11.0,8888.0,8888.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,172.50809716599193,78.42239263803681,117.6335889570552,70.14590605502156,784.2239263803681
1.0,32.0,11.0,0.0,2.0,3.0,522.0,1987.0,12.0,8.0,105.0,4480.0,410.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,8888.0,8888.0,8888.0,8888.0,2.0,3.0,11.0,8888.0,8888.0,2.0,2.0,2.0,2.0,2.0,2.0,11.663184306569343,172.50809716599193,268.4062992125984,325.8852772466539,70.14590605502156,6751.505281690142
