Classifier,Train_sizes,Train_scores,Validation_scores
1-NN,10682,"[0.9991574611495975, 0.9991574611495975, 0.9989702302939525, 0.9988766148661299, 0.999063845721775, 0.9991574611495975, 0.9988766148661299, 0.9989702302939525, 0.9989702302939525, 0.9988766148661299]","[0.6383435841267167, 0.6435672760973966, 0.6451680849271211, 0.6506024096385542, 0.6520768388238267, 0.6433145168084927, 0.6438200353863004, 0.6443255539641082, 0.6489173477125284, 0.6466425141123936]"
1-NN,21364,"[0.9978468451600824, 0.9980808837296387, 0.9978000374461712, 0.9982681145852836, 0.9982213068713724, 0.9977532297322599, 0.9979872683018162, 0.9980808837296387, 0.9979872683018162, 0.9979404605879049]","[0.6545201786165642, 0.6617659448984751, 0.6618501979947763, 0.6631561209874463, 0.6637458926615553, 0.656921391861151, 0.6615553121577218, 0.6581851883056702, 0.6632403740837476, 0.6634088802763501]"
1-NN,42728,"[0.9964192098857891, 0.9967234600262124, 0.9963958060288336, 0.9965596330275229, 0.9968170754540349, 0.9962787867440555, 0.996302190601011, 0.9965128253136117, 0.9964894214566561, 0.9966766523123011]","[0.6891060746482434, 0.6933608560114585, 0.697320751537619, 0.6982475355969332, 0.6976577639228242, 0.6875895189148201, 0.6932344763670065, 0.6975313842783722, 0.6906226303816665, 0.6956778161597439]"
1-NN,64092,"[0.995116395181926, 0.9950539848967109, 0.9950539848967109, 0.9951007926106222, 0.9952568183236598, 0.9950695874680148, 0.994929164326281, 0.9950071771827997, 0.9948511514697622, 0.9951007926106222]","[0.7109276265902772, 0.7127811947089056, 0.7191001769315022, 0.7203218468278709, 0.7159828123683545, 0.7115595248125368, 0.717710000842531, 0.7176678742943803, 0.7172887353610246, 0.7143398769904794]"
1-NN,85456,"[0.9944064781876053, 0.9942309492604381, 0.9941841415465269, 0.9943128627597828, 0.9943362666167385, 0.9941841415465269, 0.994172439618049, 0.9943479685452162, 0.9940788241902265, 0.9943479685452162]","[0.7284943971690959, 0.7260931839245093, 0.7331704440138175, 0.7346027466509394, 0.7287892830061504, 0.7275254865616312, 0.7323700395989553, 0.7319909006655995, 0.7316117617322436, 0.7309377369618334]"
1-NN,106821,"[0.9931286919238727, 0.9929227399106917, 0.992941462820981, 0.9929882700967039, 0.9929789086415592, 0.9928384868143905, 0.9928104024489567, 0.9929508242761255, 0.992847848269535, 0.9931754991995956]","[0.7423119049625073, 0.7433650686662735, 0.7465245597775718, 0.7429016766366164, 0.7456399022664083, 0.7426067907995619, 0.7461875473923667, 0.7480832420591457, 0.7453871429775044, 0.7445867385626421]"
1-NN,128185,"[0.9922221788820845, 0.9920895580606155, 0.9920193470374848, 0.9921129617349924, 0.9921675703085384, 0.9919881421383158, 0.9919647384639388, 0.9921363654093692, 0.9919803409135234, 0.9922845886804228]","[0.761563737467352, 0.7636700648748842, 0.7651866206083073, 0.7617322436599545, 0.7633751790378296, 0.7621113825933103, 0.7641334569045413, 0.7641334569045413, 0.7621956356896116, 0.7625747746229674]"
1-NN,149549,"[0.992965516319066, 0.9928451544309892, 0.9928317808878695, 0.9928852750603481, 0.9928384676594294, 0.9926913586851133, 0.992738166086032, 0.9928384676594294, 0.9928317808878695, 0.9929855766337454]","[0.8192771084337349, 0.8198668801078439, 0.821888954419075, 0.8188558429522285, 0.8196141208189401, 0.8152329598112731, 0.8215098154857191, 0.8197826270115427, 0.818560957115174, 0.8156963518409301]"
1-NN,170913,"[0.9935756788541539, 0.9934820639740687, 0.9934586602540474, 0.9935113186240953, 0.9935815297841591, 0.9933884490939835, 0.9934060018839994, 0.9934645111840527, 0.9934352565340261, 0.9935581260641378]","[0.840719521442413, 0.8392450922571405, 0.8429101019462465, 0.8381919285533743, 0.8416463055017271, 0.8361277276939928, 0.841899064790631, 0.8426994692054933, 0.8403403825090572, 0.8398769904794001]"
1-NN,192277,"[0.9941178612106493, 0.9938682213681304, 0.9938838238582878, 0.9939462338189174, 0.9940866562303343, 0.9938370163878155, 0.9938578197080254, 0.9939046271784977, 0.9938994263484452, 0.9940294470997572]","[0.8525149549245935, 0.8507456399022664, 0.8550846743617828, 0.8514617912208273, 0.854705535428427, 0.849608223102199, 0.8525570814727441, 0.8534838655320584, 0.8526834611171961, 0.8507877664504171]"
Naïve Bayes,10682,"[0.16129938213817638, 0.16158022842164388, 0.16223553641640143, 0.16139299756599887, 0.1600823815764838, 0.15905261187043626, 0.16158022842164388, 0.1584909193035012, 0.15895899644261374, 0.1584909193035012]","[0.5061926025781448, 0.5044654141039683, 0.5050130592299267, 0.5052658185188306, 0.5058555901929396, 0.5054343247114331, 0.5066138680596511, 0.5065717415115005, 0.5061504760299941, 0.5060240963855421]"
