Classifier,Train_sizes,Train_scores,Validation_scores
1-NN,160,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3697478991596639, 0.3473389355742297, 0.37815126050420167, 0.39775910364145656, 0.38375350140056025, 0.35294117647058826, 0.40336134453781514, 0.3651685393258427, 0.3539325842696629, 0.3539325842696629]"
1-NN,321,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4005602240896359, 0.3865546218487395, 0.39775910364145656, 0.3865546218487395, 0.37254901960784315, 0.3865546218487395, 0.43137254901960786, 0.398876404494382, 0.3595505617977528, 0.38764044943820225]"
1-NN,642,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.41456582633053224, 0.44537815126050423, 0.41456582633053224, 0.484593837535014, 0.40896358543417366, 0.42857142857142855, 0.44537815126050423, 0.4241573033707865, 0.3707865168539326, 0.46348314606741575]"
1-NN,963,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4341736694677871, 0.46218487394957986, 0.42016806722689076, 0.5014005602240896, 0.46218487394957986, 0.42857142857142855, 0.4733893557422969, 0.43258426966292135, 0.42696629213483145, 0.4410112359550562]"
1-NN,1284,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.453781512605042, 0.46218487394957986, 0.4481792717086835, 0.4957983193277311, 0.5014005602240896, 0.45098039215686275, 0.47058823529411764, 0.4410112359550562, 0.4410112359550562, 0.4606741573033708]"
1-NN,1605,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4565826330532213, 0.4481792717086835, 0.47058823529411764, 0.4957983193277311, 0.5266106442577031, 0.4789915966386555, 0.453781512605042, 0.4438202247191011, 0.4550561797752809, 0.45224719101123595]"
1-NN,1926,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5350140056022409, 0.5434173669467787, 0.5490196078431373, 0.5434173669467787, 0.5826330532212886, 0.5630252100840336, 0.5574229691876751, 0.5084269662921348, 0.5280898876404494, 0.5393258426966292]"
1-NN,2247,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5406162464985994, 0.5546218487394958, 0.5518207282913166, 0.5686274509803921, 0.6078431372549019, 0.5602240896358543, 0.5658263305322129, 0.547752808988764, 0.5561797752808989, 0.5589887640449438]"
1-NN,2568,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5630252100840336, 0.5602240896358543, 0.5462184873949579, 0.5686274509803921, 0.6218487394957983, 0.5770308123249299, 0.5798319327731093, 0.5646067415730337, 0.550561797752809, 0.5814606741573034]"
1-NN,2889,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.6022408963585434, 0.5966386554621849, 0.5826330532212886, 0.6078431372549019, 0.6722689075630253, 0.6190476190476191, 0.6078431372549019, 0.5898876404494382, 0.5870786516853933, 0.6207865168539326]"
Naïve Bayes,160,"[0.4875, 0.46875, 0.5375, 0.45625, 0.50625, 0.5, 0.49375, 0.5375, 0.45625, 0.4625]","[0.3277310924369748, 0.3389355742296919, 0.3585434173669468, 0.35014005602240894, 0.39215686274509803, 0.37254901960784315, 0.34173669467787116, 0.3848314606741573, 0.3455056179775281, 0.32303370786516855]"
Naïve Bayes,321,"[0.3146417445482866, 0.2834890965732087, 0.32087227414330216, 0.3146417445482866, 0.308411214953271, 0.3052959501557632, 0.3146417445482866, 0.308411214953271, 0.29283489096573206, 0.32398753894080995]","[0.3641456582633053, 0.38375350140056025, 0.34173669467787116, 0.32212885154061627, 0.3389355742296919, 0.34173669467787116, 0.33613445378151263, 0.351123595505618, 0.3792134831460674, 0.31741573033707865]"
Naïve Bayes,642,"[0.2507788161993769, 0.24143302180685358, 0.2866043613707165, 0.24299065420560748, 0.2507788161993769, 0.22429906542056074, 0.2632398753894081, 0.27102803738317754, 0.27414330218068533, 0.2616822429906542]","[0.3445378151260504, 0.36694677871148457, 0.38095238095238093, 0.3445378151260504, 0.34173669467787116, 0.33053221288515405, 0.37254901960784315, 0.3848314606741573, 0.3960674157303371, 0.36797752808988765]"
Naïve Bayes,963,"[0.21703011422637591, 0.19833852544132918, 0.22533748701973, 0.21287642782969884, 0.21391484942886813, 0.21287642782969884, 0.18691588785046728, 0.2232606438213915, 0.2222222222222222, 0.2284527518172378]","[0.3557422969187675, 0.3641456582633053, 0.37815126050420167, 0.36694677871148457, 0.3753501400560224, 0.3557422969187675, 0.36134453781512604, 0.351123595505618, 0.3595505617977528, 0.34831460674157305]"
Naïve Bayes,1284,"[0.20482866043613707, 0.20327102803738317, 0.19781931464174454, 0.2071651090342679, 0.2087227414330218, 0.20482866043613707, 0.2118380062305296, 0.22741433021806853, 0.2266355140186916, 0.22118380062305296]","[0.3585434173669468, 0.38375350140056025, 0.38095238095238093, 0.3697478991596639, 0.3753501400560224, 0.3753501400560224, 0.3641456582633053, 0.36797752808988765, 0.40168539325842695, 0.3455056179775281]"
Naïve Bayes,1605,"[0.21121495327102804, 0.19501557632398753, 0.20747663551401868, 0.20747663551401868, 0.20809968847352026, 0.18504672897196262, 0.19937694704049844, 0.21370716510903426, 0.2043613707165109, 0.2012461059190031]","[0.38095238095238093, 0.38375350140056025, 0.38375350140056025, 0.36694677871148457, 0.4005602240896359, 0.3865546218487395, 0.3949579831932773, 0.3848314606741573, 0.3792134831460674, 0.3595505617977528]"
Naïve Bayes,1926,"[0.3146417445482866, 0.3130841121495327, 0.31568016614745587, 0.32346832814122534, 0.3161993769470405, 0.31983385254413293, 0.31048805815160957, 0.32087227414330216, 0.32035306334371755, 0.31516095534787125]","[0.39215686274509803, 0.4061624649859944, 0.37815126050420167, 0.36694677871148457, 0.4061624649859944, 0.38935574229691877, 0.38935574229691877, 0.40168539325842695, 0.38764044943820225, 0.3792134831460674]"
Naïve Bayes,2247,"[0.41076991544281266, 0.41255006675567424, 0.4192256341789052, 0.4218958611481976, 0.4098798397863818, 0.4214508233199822, 0.40587449933244324, 0.41076991544281266, 0.4152202937249666, 0.4121050289274588]","[0.40336134453781514, 0.41456582633053224, 0.39775910364145656, 0.3697478991596639, 0.40896358543417366, 0.38375350140056025, 0.4257703081232493, 0.39325842696629215, 0.40168539325842695, 0.37640449438202245]"
Naïve Bayes,2568,"[0.4645638629283489, 0.4719626168224299, 0.4665109034267913, 0.4692367601246106, 0.4645638629283489, 0.47157320872274144, 0.46534267912772587, 0.463785046728972, 0.4680685358255452, 0.4696261682242991]","[0.4005602240896359, 0.4061624649859944, 0.3865546218487395, 0.37254901960784315, 0.41456582633053224, 0.38375350140056025, 0.39215686274509803, 0.40168539325842695, 0.40730337078651685, 0.3707865168539326]"
Naïve Bayes,2889,"[0.4326756663205261, 0.4337140879196954, 0.43613707165109034, 0.44132917964693663, 0.42956040152301833, 0.4454828660436137, 0.4323295257874697, 0.43613707165109034, 0.4316372447213569, 0.43821391484942884]","[0.39775910364145656, 0.3949579831932773, 0.3865546218487395, 0.3753501400560224, 0.40336134453781514, 0.37254901960784315, 0.39775910364145656, 0.3904494382022472, 0.42134831460674155, 0.38202247191011235]"
Decision Tree,160,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.33613445378151263, 0.38095238095238093, 0.38935574229691877, 0.3697478991596639, 0.3333333333333333, 0.3389355742296919, 0.33053221288515405, 0.3651685393258427, 0.3398876404494382, 0.3539325842696629]"
Decision Tree,321,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.38375350140056025, 0.4061624649859944, 0.4173669467787115, 0.37815126050420167, 0.4005602240896359, 0.38095238095238093, 0.4061624649859944, 0.4101123595505618, 0.3595505617977528, 0.3848314606741573]"
Decision Tree,642,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4341736694677871, 0.43137254901960786, 0.42296918767507, 0.44537815126050423, 0.37254901960784315, 0.4341736694677871, 0.39775910364145656, 0.41292134831460675, 0.4410112359550562, 0.4691011235955056]"
Decision Tree,963,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.4369747899159664, 0.4173669467787115, 0.44537815126050423, 0.4173669467787115, 0.40336134453781514, 0.4369747899159664, 0.4481792717086835, 0.43820224719101125, 0.398876404494382, 0.4550561797752809]"
Decision Tree,1284,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.5042016806722689, 0.4341736694677871, 0.45098039215686275, 0.45938375350140054, 0.45098039215686275, 0.47058823529411764, 0.4677871148459384, 0.47191011235955055, 0.4157303370786517, 0.46348314606741575]"
