birth_cohort,legal_status,latest_us_occupation,education,labor_exp_age45,first_migration_age,total_trips,accumulated_us_experience,mean_proportion_low_income
48.0,0.0,1.0,6.0,27.0,19.0,2.0,312.0,0.1154865504287029
47.0,0.0,2.0,0.0,27.0,39.0,1.0,96.0,0.466597565192262
18.0,1.0,0.0,3.0,30.58333333333333,28.0,5.0,11.0,0.233556588533269
59.0,0.0,1.0,10.0,29.166666666666668,32.0,4.0,38.0,0.2805868308259445
30.0,1.0,0.0,3.0,34.0,20.0,6.0,84.0,0.1504288764156413
14.0,0.0,1.0,2.0,17.416666666666668,20.0,36.0,215.0,0.336834574023331
40.0,0.0,1.0,3.0,37.0,25.0,3.0,108.0,0.0530060722456658
35.0,1.0,1.0,6.0,29.0,24.0,1.0,372.0,0.5624172290213145
25.0,1.0,0.0,0.0,31.33333333333333,25.0,9.0,292.0,0.2230046374068595
50.0,0.0,1.0,9.0,28.0,47.0,1.0,42.0,0.3040856578310011
39.0,0.0,1.0,1.0,32.083333333333336,22.0,1.0,13.0,0.2460560277702422
57.0,1.0,0.0,9.0,12.5,22.0,23.0,138.0,0.2362869324676007
47.0,1.0,1.0,6.0,32.0,39.0,3.0,84.0,0.1618066736443946
60.0,1.0,1.0,9.0,34.0,18.0,2.0,264.0,0.1229021306305824
42.0,1.0,1.0,6.0,32.5,44.0,8.0,60.0,0.1731213669628752
17.0,1.0,0.0,1.0,31.58333333333333,30.0,2.0,7.0,0.4002801355591667
25.0,0.0,1.0,8.0,28.0,34.0,2.0,48.0,0.3126117748540345
22.0,0.0,1.0,0.0,24.33333333333333,40.0,3.0,16.0,0.3403960457849617
42.0,0.0,2.0,4.0,36.0,22.0,1.0,36.0,0.0794116459041523
39.0,0.0,2.0,2.0,38.0,31.0,1.0,12.0,0.0794116459041523
32.0,1.0,1.0,2.0,37.0,20.0,2.0,12.0,0.3605477354718323
22.0,1.0,1.0,0.0,34.0,40.0,1.0,132.0,0.0887631280098776
43.0,0.0,0.0,6.0,31.0,32.0,1.0,156.0,0.2550178354244314
35.0,1.0,1.0,0.0,32.0,14.0,1.0,24.0,0.0887631280098776
46.0,0.0,2.0,6.0,34.0,30.0,1.0,12.0,0.1229021306305824
