Classifier,Train_sizes,Train_scores,Validation_scores
35-NN,81,"[0.6049382716049383, 0.5802469135802469, 0.5802469135802469, 0.5802469135802469, 0.5432098765432098, 0.5432098765432098, 0.5679012345679012, 0.5679012345679012, 0.5925925925925926, 0.5185185185185185]","[0.521978021978022, 0.5384615384615384, 0.5054945054945055, 0.5274725274725275, 0.5469613259668509, 0.5303867403314917, 0.47513812154696133, 0.5193370165745856, 0.5193370165745856, 0.5027624309392266]"
35-NN,163,"[0.558282208588957, 0.5276073619631901, 0.6073619631901841, 0.5766871165644172, 0.5705521472392638, 0.5766871165644172, 0.588957055214724, 0.5766871165644172, 0.5950920245398773, 0.5705521472392638]","[0.5384615384615384, 0.4945054945054945, 0.5384615384615384, 0.532967032967033, 0.5248618784530387, 0.4696132596685083, 0.5414364640883977, 0.4696132596685083, 0.569060773480663, 0.5248618784530387]"
35-NN,326,"[0.5828220858895705, 0.6134969325153374, 0.6134969325153374, 0.598159509202454, 0.588957055214724, 0.588957055214724, 0.6104294478527608, 0.588957055214724, 0.5950920245398773, 0.6012269938650306]","[0.5824175824175825, 0.554945054945055, 0.5769230769230769, 0.554945054945055, 0.5580110497237569, 0.5303867403314917, 0.5414364640883977, 0.5193370165745856, 0.56353591160221, 0.5193370165745856]"
35-NN,489,"[0.6114519427402862, 0.621676891615542, 0.6114519427402862, 0.6298568507157464, 0.6175869120654397, 0.6114519427402862, 0.6114519427402862, 0.6094069529652352, 0.6298568507157464, 0.6114519427402862]","[0.5879120879120879, 0.5879120879120879, 0.5604395604395604, 0.5769230769230769, 0.5138121546961326, 0.5138121546961326, 0.5027624309392266, 0.5138121546961326, 0.5414364640883977, 0.5414364640883977]"
35-NN,652,"[0.6226993865030674, 0.6211656441717791, 0.6088957055214724, 0.6257668711656442, 0.6303680981595092, 0.6073619631901841, 0.6088957055214724, 0.6303680981595092, 0.6319018404907976, 0.6180981595092024]","[0.5989010989010989, 0.5989010989010989, 0.5879120879120879, 0.5769230769230769, 0.5303867403314917, 0.49171270718232046, 0.5193370165745856, 0.5193370165745856, 0.5414364640883977, 0.5524861878453039]"
35-NN,816,"[0.6262254901960784, 0.6004901960784313, 0.5968137254901961, 0.6017156862745098, 0.6102941176470589, 0.6066176470588235, 0.5980392156862745, 0.6090686274509803, 0.6078431372549019, 0.6053921568627451]","[0.6263736263736264, 0.5934065934065934, 0.5879120879120879, 0.5604395604395604, 0.569060773480663, 0.5193370165745856, 0.5911602209944752, 0.4972375690607735, 0.569060773480663, 0.574585635359116]"
35-NN,979,"[0.6159346271705822, 0.6251276813074566, 0.6026557711950971, 0.6373850868232891, 0.616956077630235, 0.6261491317671093, 0.6210418794688458, 0.6230847803881512, 0.6138917262512769, 0.616956077630235]","[0.6208791208791209, 0.5714285714285714, 0.6153846153846154, 0.5769230769230769, 0.574585635359116, 0.48066298342541436, 0.569060773480663, 0.5303867403314917, 0.6022099447513812, 0.5248618784530387]"
35-NN,1142,"[0.6208406304728546, 0.6234676007005254, 0.6120840630472855, 0.6313485113835376, 0.6190893169877408, 0.6339754816112084, 0.6234676007005254, 0.617338003502627, 0.6260945709281961, 0.6260945709281961]","[0.5769230769230769, 0.5824175824175825, 0.6153846153846154, 0.5824175824175825, 0.569060773480663, 0.5027624309392266, 0.569060773480663, 0.5248618784530387, 0.585635359116022, 0.6298342541436464]"
35-NN,1305,"[0.610727969348659, 0.6099616858237548, 0.6076628352490422, 0.6168582375478927, 0.6191570881226054, 0.6337164750957854, 0.6206896551724138, 0.6237547892720307, 0.6130268199233716, 0.621455938697318]","[0.5824175824175825, 0.5934065934065934, 0.5824175824175825, 0.5824175824175825, 0.5248618784530387, 0.48066298342541436, 0.574585635359116, 0.5414364640883977, 0.574585635359116, 0.6077348066298343]"
35-NN,1468,"[0.6130790190735694, 0.6069482288828338, 0.6110354223433242, 0.6246594005449592, 0.6260217983651226, 0.6335149863760218, 0.611716621253406, 0.6205722070844687, 0.6178474114441417, 0.6280653950953679]","[0.5989010989010989, 0.5879120879120879, 0.5439560439560439, 0.5714285714285714, 0.5580110497237569, 0.4861878453038674, 0.580110497237569, 0.5580110497237569, 0.585635359116022, 0.585635359116022]"
