sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira
1.0,9.0,1.0,6.0,1.0,1.0,2.0,2.0,2.0,39.0,3.0,0.0,2.0,0.0,4.0,0.053,0.0,1.0,2.0,7.456445020353573,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.0,1.0,48.0,8.0,1.0,1.0,2.0,2.0,29.0,3.0,0.0,0.0,1.0,3.0,0.061,0.0,1.0,2.0,9.487945344129557,0.0,1.0,0.0,0.0,0.0,0.0
1.0,6.0,1.0,5.0,8.0,1.0,2.0,2.0,2.0,38.0,2.0,0.0,1.0,1.0,4.0,0.069,0.0,1.0,0.0,8.846262975778547,0.0,1.0,0.0,0.0,0.0,0.0
1.0,6.0,1.0,24.0,8.0,2.0,1.0,2.0,2.0,23.0,2.0,0.0,1.0,0.0,3.0,0.047,0.0,2.0,2.0,14.435742518351216,0.0,0.0,1.0,0.0,0.0,1.0
1.0,17.0,2.0,12.0,5.0,1.0,2.0,2.0,2.0,24.0,1.0,0.0,0.0,0.0,3.0,0.062,0.0,1.0,1.0,10.127257922535213,0.0,1.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,204.0,8.0,1.0,1.0,1.0,2.0,45.0,3.0,0.0,1.0,0.0,4.0,0.096,0.0,1.0,0.0,12.834186746987951,1.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,1.0,18.0,8.0,1.0,1.0,2.0,1.0,36.0,3.0,2.0,1.0,1.0,4.0,0.06,0.0,0.0,3.0,9.03136141304348,0.0,0.0,1.0,0.0,0.0,0.0
1.0,9.0,1.0,12.0,8.0,1.0,2.0,2.0,2.0,39.0,4.0,0.0,1.0,0.0,4.0,0.058,0.0,1.0,1.0,8.526637020566982,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,8.0,8.0,2.0,1.0,2.0,2.0,48.0,4.0,0.0,1.0,0.0,2.0,0.075,0.0,0.0,0.0,9.84242540904716,1.0,0.0,0.0,1.0,0.0,0.0
1.0,4.0,1.0,6.0,8.0,1.0,1.0,2.0,2.0,34.0,6.0,0.0,1.0,0.0,2.0,0.096,0.0,2.0,0.0,8.983930722891568,1.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,2.0,48.0,8.0,2.0,1.0,2.0,2.0,20.0,0.0,0.0,1.0,0.0,4.0,0.056,0.0,1.0,3.0,5.03261811023622,0.0,1.0,0.0,0.0,1.0,0.0
1.0,12.0,1.0,144.0,4.0,2.0,1.0,2.0,2.0,52.0,1.0,0.0,1.0,0.0,1.0,0.071,0.0,0.0,0.0,11.843323183569808,1.0,0.0,0.0,1.0,0.0,0.0
