birth_cohort,education,labor_exp_age45,first_migration_age,total_trips,legal_status,latest_us_occupation,accumulated_us_experience,mean_proportion_low_income,label
1993,9.0,9.5,22.0,5,WOD,Agrarian,30.0,0.18603297318406675,undetermined
1992,9.0,8.5,19.0,9,WOD,Agrarian,54.0,0.18603297318406675,undetermined
1992,9.0,10.166666666666666,23.0,5,WOD,Agrarian,26.0,0.18603297318406675,undetermined
1988,9.0,15.5,19.0,3,WOD,Agrarian,66.0,0.18603297318406675,undetermined
1979,11.0,23.5,18.0,3,WD,Manual,258.0,0.18603297318406675,undetermined
1993,7.0,12.166666666666666,26.0,1,WOD,Agrarian,6.0,0.18603297318406675,undetermined
1989,6.0,15.0,17.0,1,WOD,Manual,162.0,0.18603297318406675,undetermined
1994,8.0,6.666666666666667,20.0,6,WOD,Agrarian,31.0,0.18603297318406675,undetermined
1983,2.0,26.083333333333332,18.0,2,WD,Manual,216.0,0.18603297318406675,undetermined
1980,9.0,24.0,32.0,8,WOD,Manual,48.0,0.18603297318406675,undetermined
1986,6.0,15.166666666666666,18.0,11,WOD,Agrarian,77.0,0.18603297318406675,undetermined
1949,4.0,23.666666666666668,67.0,4,WOD,Other,9.0,0.18603297318406675,upward
1969,4.0,32.833333333333336,19.0,3,WOD,Agrarian,380.0,0.18603297318406675,downward
1974,5.0,36.0,29.0,1,WOD,Agrarian,204.0,0.18603297318406675,no_movement
1975,6.0,29.833333333333332,24.0,10,WOD,Agrarian,70.0,0.18603297318406675,undetermined
1976,7.0,23.833333333333332,19.0,17,WOD,Manual,126.0,0.18603297318406675,undetermined
1982,6.0,24.0,20.0,1,WD,Manual,216.0,0.18603297318406675,undetermined
1985,6.0,23.5,18.0,2,WOD,Agrarian,30.0,0.18603297318406675,undetermined
1972,6.0,8.666666666666666,19.0,1,WD,Other,2.0,0.32287174112266576,undetermined
1932,0.0,29.416666666666668,20.0,1,WD,Agrarian,5.0,0.32287174112266576,no_movement
1961,6.0,23.0,19.0,1,WD,Agrarian,24.0,0.32287174112266576,undetermined
1943,0.0,29.083333333333332,36.0,1,WD,Manual,4.0,0.32287174112266576,no_movement
1954,9.0,30.0,15.0,2,WOD,Manual,192.0,0.32287174112266576,undetermined
1947,6.0,31.0,24.0,1,WOD,Manual,48.0,0.32287174112266576,upward
1963,6.0,20.5,24.0,1,WD,Manual,6.0,0.32287174112266576,undetermined
1945,3.0,30.583333333333332,27.0,2,WOD,Other,180.0,0.32287174112266576,downward
1949,6.0,30.166666666666668,29.0,1,WD,Other,2.0,0.32287174112266576,undetermined
1950,6.0,30.083333333333332,31.0,2,WD,Other,2.0,0.32287174112266576,no_movement
1965,4.0,19.0,18.0,1,WD,Other,36.0,0.32287174112266576,undetermined
1924,0.0,31.0,72.0,2,WD,Other,2.0,0.32287174112266576,no_movement
1963,9.0,20.5,33.0,1,WD,Manual,24.0,0.32287174112266576,undetermined
1963,13.0,20.666666666666668,21.0,1,WD,Other,8.0,0.32287174112266576,undetermined
1938,3.0,29.833333333333332,16.0,2,WD,Manual,22.0,0.32287174112266576,no_movement
1964,12.0,18.666666666666668,20.0,3,WD,Other,132.0,0.32287174112266576,undetermined
1945,6.0,27.0,40.0,2,WD,Other,132.0,0.32287174112266576,no_movement
1942,3.0,29.75,21.0,4,WD,Other,22.0,0.32287174112266576,no_movement
1934,3.0,30.25,25.0,2,WD,Other,4.0,0.32287174112266576,no_movement
1973,8.0,10.666666666666666,21.0,1,WD,Agrarian,8.0,0.32287174112266576,undetermined
1933,2.0,31.0,18.0,2,WD,Manual,24.0,0.32287174112266576,no_movement
1959,6.0,24.833333333333332,22.0,1,WD,Other,10.0,0.32287174112266576,undetermined
1918,3.0,31.0,70.0,1,WD,Other,1.0,0.32287174112266576,no_movement
1927,3.0,0.0,46.0,1,WD,Other,324.0,0.32287174112266576,undetermined
1941,5.0,34.0,21.0,1,WOD,Manual,456.0,0.32287174112266576,no_movement
1970,6.0,18.0,19.0,1,WD,Manual,132.0,0.32287174112266576,undetermined
1933,3.0,37.0,28.0,1,WOD,Manual,468.0,0.32287174112266576,downward
1949,9.0,33.0,18.0,2,WOD,Manual,324.0,0.32287174112266576,no_movement
1944,4.0,33.0,28.0,1,WD,Manual,330.0,0.32287174112266576,downward
