commun,relhead,yrborn,age,statebrn,placebrn,marstat,edyrs,occ,ldowage,@by,target
1,1,1956,31.0,11,0,2,5.0,529,,,0
1,3,1954,33.0,11,0,2,6.0,,8888.0,8888,1
1,3,1956,31.0,11,0,2,6.0,522,8888.0,8888,0
1,3,1958,29.0,11,0,2,6.0,549,8888.0,8888,1
1,3,1968,19.0,11,0,1,6.0,,8888.0,8888,1
1,1,1942,45.0,11,0,2,0.0,529,,,1
1,3,1959,28.0,11,0,2,6.0,522,8888.0,8888,0
1,3,1963,24.0,11,0,1,6.0,522,8888.0,8888,0
1,3,1978,9.0,11,0,1,4.0,42,8888.0,8888,0
1,3,1981,6.0,11,0,1,2.0,42,8888.0,8888,0
1,1,1928,59.0,11,0,2,0.0,50,0.0,5,0
1,3,1950,37.0,11,0,2,6.0,529,8888.0,8888,0
1,3,1952,35.0,11,0,2,6.0,522,8888.0,8888,0
1,3,1958,29.0,11,0,2,6.0,529,8888.0,8888,0
1,3,1960,27.0,11,0,2,6.0,529,8888.0,8888,0
1,3,1958,29.0,11,0,2,4.0,524,8888.0,8888,0
1,3,1962,25.0,11,0,1,7.0,524,8888.0,8888,1
1,1,1943,44.0,11,0,2,3.0,529,,,0
1,3,1970,17.0,11,0,1,6.0,529,8888.0,8888,0
1,3,1978,9.0,11,0,1,3.0,42,8888.0,8888,0
1,3,1982,5.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1984,3.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1986,1.0,11,0,1,0.0,41,8888.0,8888,0
1,1,1948,39.0,11,0,2,7.0,524,,,0
1,3,1977,10.0,11,0,1,6.0,42,8888.0,8888,0
1,3,1978,9.0,11,0,1,5.0,42,8888.0,8888,0
1,3,1986,1.0,11,0,1,0.0,41,8888.0,8888,0
1,1,1947,40.0,11,0,2,7.0,524,,,0
1,3,1978,9.0,11,0,1,4.0,42,8888.0,8888,0
1,1,1933,54.0,11,0,2,0.0,410,,,1
1,3,1955,32.0,11,0,2,6.0,410,8888.0,8888,1
1,3,1957,30.0,11,0,1,6.0,410,8888.0,8888,1
1,3,1963,24.0,11,0,2,3.0,522,8888.0,8888,0
1,3,1965,22.0,11,0,1,6.0,410,8888.0,8888,0
1,3,1967,20.0,11,0,1,5.0,522,8888.0,8888,0
1,1,1940,47.0,11,0,2,5.0,720,,,0
1,3,1965,22.0,11,0,2,8.0,,8888.0,8888,1
1,1,1959,28.0,11,25,2,7.0,522,,,0
1,3,1986,1.0,11,0,1,0.0,41,8888.0,8888,0
1,1,1943,44.0,11,0,2,4.0,549,,,1
1,3,1967,20.0,11,0,1,9.0,529,8888.0,8888,0
1,3,1969,18.0,11,0,1,8.0,410,8888.0,8888,1
1,3,1972,15.0,11,0,1,9.0,410,8888.0,8888,0
1,3,1973,14.0,11,0,1,6.0,410,8888.0,8888,0
1,3,1975,12.0,11,0,1,6.0,41,8888.0,8888,0
1,3,1980,7.0,11,0,1,2.0,42,8888.0,8888,0
1,1,1927,60.0,11,0,2,6.0,410,,,0
1,3,1945,42.0,11,0,2,4.0,522,8888.0,8888,0
1,3,1948,39.0,11,0,2,6.0,529,8888.0,8888,0
1,3,1952,35.0,11,0,1,6.0,527,8888.0,8888,0
1,3,1953,34.0,11,0,2,6.0,529,8888.0,8888,0
1,3,1957,30.0,11,0,2,2.0,522,8888.0,8888,0
1,3,1959,28.0,11,0,1,6.0,522,8888.0,8888,0
1,3,1961,26.0,11,0,1,12.0,522,8888.0,8888,0
1,3,1969,18.0,11,0,1,9.0,410,8888.0,8888,0
1,3,1971,16.0,11,0,1,6.0,410,8888.0,8888,0
1,1,1938,49.0,11,,2,3.0,522,250000.0,5,1
1,3,1967,20.0,11,0,1,10.0,522,8888.0,8888,0
1,3,1969,18.0,11,0,1,6.0,529,8888.0,8888,1
1,3,1976,11.0,11,0,1,6.0,42,8888.0,8888,0
1,3,1982,5.0,11,0,1,0.0,41,8888.0,8888,0
1,1,1928,59.0,11,0,2,3.0,522,200000.0,5,1
1,3,1965,22.0,11,0,1,6.0,529,8888.0,8888,0
1,3,1967,20.0,11,0,1,6.0,522,8888.0,8888,0
1,1,1920,67.0,11,0,2,0.0,410,240000.0,5,0
1,3,1949,38.0,11,0,2,5.0,410,8888.0,8888,0
1,3,1952,35.0,11,0,2,4.0,410,8888.0,8888,0
1,3,1955,32.0,11,0,1,5.0,410,8888.0,8888,1
1,1,1944,43.0,11,0,2,3.0,410,240000.0,5,0
1,3,1966,21.0,11,0,1,6.0,410,8888.0,8888,1
1,3,1968,19.0,11,0,1,6.0,522,8888.0,8888,1
1,3,1974,13.0,11,0,1,6.0,522,8888.0,8888,0
1,3,1976,11.0,11,0,1,6.0,42,8888.0,8888,0
1,3,1986,1.0,11,0,1,0.0,41,8888.0,8888,0
1,1,1947,40.0,11,0,2,3.0,529,240000.0,5,0
1,3,1968,19.0,11,0,2,3.0,522,8888.0,8888,0
1,3,1969,18.0,11,0,1,4.0,529,8888.0,8888,0
1,3,1974,13.0,11,0,1,3.0,42,8888.0,8888,0
1,1,1964,23.0,11,0,2,9.0,410,,,1
1,1,1951,36.0,11,37,2,3.0,529,350000.0,5,0
1,3,1971,16.0,11,0,1,6.0,142,8888.0,8888,0
1,3,1973,14.0,11,0,1,6.0,42,8888.0,8888,0
1,1,1950,37.0,11,0,1,6.0,410,1440000.0,5,1
1,5,1971,16.0,11,0,1,10.0,42,8888.0,8888,0
1,1,1964,23.0,9,401,2,7.0,,,,0
1,3,1987,1.0,11,20,1,0.0,41,8888.0,8888,0
1,1,1946,41.0,11,0,2,6.0,522,300000.0,5,1
1,3,1982,5.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1983,4.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1984,3.0,11,0,1,0.0,41,8888.0,8888,0
1,1,1956,31.0,11,0,2,6.0,142,300000.0,5,1
1,3,1977,10.0,11,0,1,5.0,42,8888.0,8888,0
1,3,1981,6.0,11,0,1,2.0,42,8888.0,8888,0
1,3,1985,2.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1986,1.0,11,0,1,0.0,41,8888.0,8888,0
1,1,1959,28.0,11,0,2,12.0,130,240000.0,5,0
1,1,1935,52.0,11,0,2,3.0,522,,,1
1,3,1965,22.0,11,0,2,9.0,549,8888.0,8888,0
1,3,1967,20.0,11,0,1,6.0,549,8888.0,8888,0
1,3,1973,14.0,11,0,1,7.0,524,8888.0,8888,0
1,1,1951,36.0,11,0,2,6.0,522,,,0
1,1,1957,30.0,11,0,2,6.0,720,,,1
1,1,1932,55.0,11,0,2,0.0,720,,,1
1,1,1946,41.0,11,0,2,4.0,720,,,0
1,16,1911,76.0,11,42,2,2.0,529,8888.0,8888,0
1,10,1987,1.0,11,0,1,0.0,41,8888.0,8888,0
1,1,1962,25.0,11,20,2,12.0,522,,,0
1,3,1980,7.0,11,20,1,1.0,42,8888.0,8888,0
1,1,1930,57.0,11,0,2,1.0,529,,,0
1,3,1966,21.0,11,0,1,6.0,410,8888.0,8888,0
1,3,1968,19.0,11,0,1,6.0,410,8888.0,8888,0
1,3,1971,16.0,11,0,1,12.0,42,8888.0,8888,0
1,1,1945,42.0,11,0,2,2.0,522,240000.0,5,0
1,3,1967,20.0,11,0,1,6.0,,8888.0,8888,0
1,3,1969,18.0,11,0,1,6.0,,8888.0,8888,0
1,1,1937,50.0,11,0,2,2.0,410,,,0
