commun,relhead,yrborn,age,statebrn,placebrn,marstat,edyrs,occ,ldowage,@by,target
1,2,1957,30.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1978,9.0,11,0,1,4.0,42,8888.0,8888,0
1,3,1980,7.0,11,0,1,3.0,42,8888.0,8888,0
1,3,1984,3.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1985,2.0,11,0,1,0.0,41,8888.0,8888,0
1,1,1931,56.0,14,74,4,3.0,529,,,0
1,3,1952,35.0,11,0,1,6.0,522,8888.0,8888,0
1,3,1964,23.0,11,0,2,3.0,20,8888.0,8888,0
1,3,1966,21.0,11,0,2,5.0,20,8888.0,8888,0
1,3,1971,16.0,11,0,1,6.0,820,8888.0,8888,0
1,2,1944,43.0,14,109,2,0.0,20,8888.0,8888,0
1,3,1965,22.0,11,0,2,6.0,522,8888.0,8888,0
1,3,1964,23.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1971,16.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1985,2.0,11,0,1,0.0,41,8888.0,8888,0
1,2,1923,64.0,11,0,2,0.0,20,8888.0,8888,0
1,3,1964,23.0,11,0,2,6.0,522,8888.0,8888,0
1,1,1932,55.0,11,26,4,0.0,20,0.0,5,0
1,3,1956,31.0,11,0,2,2.0,820,8888.0,8888,1
1,3,1964,23.0,11,0,2,4.0,820,8888.0,8888,1
1,3,1966,21.0,11,0,2,2.0,20,8888.0,8888,0
1,3,1970,17.0,9,401,1,9.0,20,8888.0,8888,0
1,2,1947,40.0,11,0,2,0.0,20,8888.0,8888,0
1,3,1971,16.0,11,0,1,6.0,522,8888.0,8888,0
1,3,1973,14.0,11,0,1,6.0,,8888.0,8888,0
1,3,1975,12.0,11,0,1,6.0,42,8888.0,8888,0
1,3,1977,10.0,11,0,1,6.0,42,8888.0,8888,0
1,3,1981,6.0,11,0,1,2.0,42,8888.0,8888,0
1,2,1952,35.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1976,11.0,11,0,1,7.0,42,8888.0,8888,0
1,3,1983,4.0,11,0,1,0.0,41,8888.0,8888,0
1,2,1960,27.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1981,6.0,11,0,1,1.0,42,8888.0,8888,0
1,2,1938,49.0,11,0,2,0.0,20,8888.0,8888,0
1,3,1953,34.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1959,28.0,11,0,2,3.0,20,8888.0,8888,0
1,3,1961,26.0,11,0,2,4.0,20,8888.0,8888,0
1,3,1969,18.0,11,0,1,6.0,20,8888.0,8888,0
1,3,1971,16.0,11,0,1,6.0,20,8888.0,8888,0
1,2,1942,45.0,11,0,2,3.0,20,8888.0,8888,0
1,3,1961,26.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1963,24.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1971,16.0,11,0,1,6.0,20,8888.0,8888,0
1,3,1978,9.0,11,0,1,5.0,42,8888.0,8888,0
1,2,1958,29.0,11,0,2,5.0,20,8888.0,8888,0
1,3,1978,9.0,11,0,1,5.0,42,8888.0,8888,0
1,3,1980,7.0,11,0,1,3.0,42,8888.0,8888,0
1,3,1983,4.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1984,3.0,11,0,1,0.0,41,8888.0,8888,0
1,2,1945,42.0,11,0,2,4.0,20,8888.0,8888,0
1,3,1966,21.0,11,0,1,12.0,620,8888.0,8888,0
1,3,1970,17.0,11,0,1,6.0,20,8888.0,8888,0
1,3,1978,9.0,11,0,1,3.0,42,8888.0,8888,0
1,3,1980,7.0,11,0,1,2.0,42,8888.0,8888,0
1,16,1920,67.0,11,0,4,1.0,20,8888.0,8888,0
1,2,1930,57.0,11,0,2,0.0,20,8888.0,8888,0
1,3,1946,41.0,11,0,2,2.0,20,8888.0,8888,0
1,3,1947,40.0,11,0,2,2.0,20,8888.0,8888,0
1,3,1950,37.0,11,0,2,3.0,20,8888.0,8888,0
1,3,1954,33.0,11,0,2,3.0,20,8888.0,8888,0
1,3,1956,31.0,11,0,2,2.0,20,8888.0,8888,0
1,3,1966,21.0,11,0,1,12.0,20,8888.0,8888,0
1,3,1970,17.0,11,0,1,9.0,42,8888.0,8888,0
1,2,1939,48.0,11,0,2,5.0,20,8888.0,8888,0
1,3,1971,16.0,11,0,1,6.0,522,8888.0,8888,0
1,3,1973,14.0,11,0,1,6.0,522,8888.0,8888,0
1,3,1974,13.0,11,0,1,6.0,522,8888.0,8888,0
1,16,1902,85.0,14,125,4,2.0,20,8888.0,8888,0
1,1,1914,73.0,11,0,1,1.0,549,700000.0,5,0
1,5,1918,69.0,11,0,1,1.0,549,8888.0,8888,0
1,6,1951,36.0,11,0,1,3.0,549,8888.0,8888,0
1,6,1954,33.0,11,0,1,2.0,549,8888.0,8888,0
1,2,1926,61.0,11,0,2,0.0,20,8888.0,8888,0
1,3,1957,30.0,11,0,2,7.0,20,8888.0,8888,0
1,3,1959,28.0,11,0,2,6.0,20,8888.0,8888,1
1,3,1960,27.0,11,0,1,6.0,20,8888.0,8888,0
1,3,1963,24.0,11,0,2,6.0,20,8888.0,8888,0
1,2,1920,67.0,11,0,2,3.0,20,8888.0,8888,0
1,3,1958,29.0,11,0,2,0.0,20,8888.0,8888,0
1,3,1962,25.0,11,0,2,6.0,20,8888.0,8888,0
1,2,1946,41.0,11,0,2,1.0,20,8888.0,8888,0
1,3,1970,17.0,11,0,1,7.0,522,8888.0,8888,0
1,3,1981,6.0,11,0,1,2.0,42,8888.0,8888,0
1,3,1982,5.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1985,2.0,11,0,1,0.0,41,8888.0,8888,0
1,2,1950,37.0,11,0,2,0.0,20,8888.0,8888,0
1,3,1971,16.0,11,0,1,3.0,20,8888.0,8888,0
1,3,1978,9.0,11,0,1,2.0,42,8888.0,8888,0
1,3,1979,8.0,11,0,1,2.0,42,8888.0,8888,0
1,16,1922,65.0,11,0,4,2.0,20,8888.0,8888,0
1,14,1963,24.0,11,0,2,6.0,20,8888.0,8888,0
1,10,1986,1.0,11,0,1,0.0,41,8888.0,8888,0
1,10,1987,1.0,11,0,1,0.0,41,8888.0,8888,0
1,2,1965,22.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1985,2.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1986,1.0,11,0,1,0.0,41,8888.0,8888,0
1,2,1952,35.0,11,0,2,2.0,20,8888.0,8888,0
1,3,1976,11.0,11,0,1,6.0,42,8888.0,8888,0
1,3,1982,5.0,11,0,1,0.0,41,8888.0,8888,0
1,3,1982,5.0,11,0,1,0.0,41,8888.0,8888,0
1,4,1930,57.0,11,0,2,0.0,20,8888.0,8888,1
1,6,1968,19.0,11,0,1,6.0,20,8888.0,8888,0
1,2,1967,20.0,11,0,2,3.0,20,8888.0,8888,0
1,1,1918,69.0,11,26,1,0.0,142,600000.0,5,0
1,2,1956,31.0,11,0,2,12.0,519,8888.0,8888,0
1,2,1957,30.0,11,0,2,4.0,20,8888.0,8888,0
1,3,1978,9.0,11,0,1,4.0,42,8888.0,8888,0
1,3,1985,2.0,11,0,1,0.0,41,8888.0,8888,0
1,2,1963,24.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1986,1.0,11,20,1,0.0,41,8888.0,8888,0
1,3,1987,1.0,11,20,1,0.0,41,8888.0,8888,0
1,2,1934,53.0,11,0,2,0.0,20,8888.0,8888,0
1,3,1958,29.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1960,27.0,11,0,2,6.0,20,8888.0,8888,1
1,3,1963,24.0,11,0,2,2.0,20,8888.0,8888,0
1,3,1969,18.0,11,0,1,6.0,522,8888.0,8888,0
1,3,1971,16.0,11,0,1,6.0,522,8888.0,8888,0
1,2,1956,31.0,11,0,2,6.0,20,8888.0,8888,0
1,3,1976,11.0,11,0,1,2.0,42,8888.0,8888,0
1,3,1978,9.0,11,0,1,5.0,42,8888.0,8888,0
1,3,1981,6.0,11,0,1,1.0,42,8888.0,8888,0
1,3,1984,3.0,11,0,1,0.0,41,8888.0,8888,0
1,2,1956,31.0,11,0,2,6.0,719,8888.0,8888,1
1,3,1985,2.0,11,0,1,0.0,41,8888.0,8888,0
