sex,age,statebrn,placebrn,marstat,edyrs,occ,usyrl,usdurl,usdocl,usstatel,usplacel,usoccl,usbyl,ustrips,reltrip,paistrip,sport,social,chicanos,blacks,anglos,latinos,lodging,english,finhelp,bankacct,remit1,remit2,remit3,remit4,remit5,savings1,savings2,savings3,savings4,savings5,schools,unemp,foodst,welfare,doctor,hospital,uswagel_adj_2019,rent_adj_2019,food_adj_2019,remit_adj_2019,savings_adj_2019,savretrn_adj_2019,target
1,45.0,11,0,2,0,529,1977.0,12.0,,105,7320,529,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
1,54.0,11,0,2,0,410,1954.0,3.0,8,105,,410,1,2.0,2,1,2,2,2,2,2,1,3,0,3,2,8888,8888,8888,8888,8888,11,8888,8888,8888,8888,2,2,2,2,2,2,3.516471747211896,0.0,0.0,0.0,0.0,380.1591078066915,2
1,44.0,11,0,2,4,549,1962.0,2.0,2,105,8735,410,1,1.0,2,1,2,2,1,2,2,2,3,0,3,2,,,,,,,,,,,2,2,2,2,2,2,8.46546357615894,,,677.2370860927153,,,2
1,49.0,11,,2,3,522,1973.0,6.0,8,114,1600,810,1,2.0,1,1,2,2,2,2,2,1,4,0,4,2,11,8888,8888,8888,8888,11,8888,8888,8888,8888,2,2,2,2,2,2,17.27412162162162,0.0,0.0,1151.6081081081081,1151.6081081081081,5758.040540540541,2
1,59.0,11,0,2,3,522,1966.0,12.0,8,105,4480,410,,2.0,2,1,2,2,2,2,1,1,3,0,3,2,11,8888,8888,8888,8888,3,8888,8888,8888,8888,2,2,2,2,2,2,,0.0,,157.81296296296298,,1183.5972222222224,2
1,23.0,11,0,2,9,410,1988.0,2.0,8,105,,410,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
1,37.0,11,0,1,6,410,1984.0,48.0,8,114,1600,549,1,2.0,2,2,2,1,1,1,1,1,3,3,3,1,2,8888,8888,8888,8888,2,8888,8888,8888,8888,2,2,2,2,2,2,14.76363811357074,738.1819056785371,984.2425409047161,984.2425409047161,246.06063522617902,,1
1,41.0,11,0,2,6,522,1986.0,6.0,5,199,,549,1,3.0,1,1,2,2,2,2,1,1,2,3,3,2,8888,8888,8888,8888,8888,5,8888,8888,8888,8888,2,2,2,1,2,2,5.831592153284673,46.65273722627738,0.0,0.0,233.2636861313869,1399.5821167883214,2
1,31.0,11,0,2,6,142,1978.0,12.0,8,105,4480,549,,1.0,2,1,2,2,1,1,1,1,1,0,2,2,11,8888,8888,8888,8888,11,8888,8888,8888,8888,2,2,2,2,2,2,,,78.42239263803681,117.63358895705521,,784.2239263803681,2
1,32.0,11,0,2,3,522,1987.0,12.0,8,105,,410,,2.0,2,1,2,2,2,2,2,1,3,1,3,2,3,8888,8888,8888,8888,2,3,11,8888,8888,2,2,2,2,2,2,,,,,,6751.505281690142,1
1,30.0,11,0,2,6,720,1981.0,24.0,8,114,1600,719,,2.0,2,1,2,1,2,2,2,2,4,1,4,2,2,3,11,8888,8888,2,3,11,8888,8888,2,2,2,2,2,2,,0.0,0.0,562.5016501650165,562.5016501650165,5625.016501650165,2
