sex,edyrs,usmarl,usdurl,usdocl,reltrip,paistrip,sport,social,age,minors,land,property,business,METROCAT,usunemp,inus,sons,daus,hrwage_adj_2019,pre_irca,irca,iirira,pais_pre_irca,pais_irca,pais_iirira,target
1,9.0,2.0,12,8.0,2.0,1.0,2.0,2.0,20,0.0,0,0,0,2,0.075,0,0,1,8.199975053456878,0,1,0,0,1,0,0
1,6.0,1.0,7,1.0,1.0,1.0,2.0,2.0,23,1.0,0,2,0,2,0.042,0,1,0,,0,0,1,0,0,1,0
1,6.0,2.0,6,8.0,1.0,2.0,2.0,1.0,16,0.0,0,0,0,2,0.056,0,0,2,18.348588516746414,1,0,0,0,0,0,1
1,3.0,1.0,4,8.0,1.0,2.0,2.0,2.0,35,5.0,0,0,0,2,0.076,0,1,2,6.440643894389439,1,0,0,0,0,0,0
1,3.0,1.0,18,8.0,2.0,1.0,1.0,1.0,33,2.0,0,1,1,2,0.077,0,3,0,15.725826010544818,1,0,0,1,0,0,1
1,3.0,1.0,12,8.0,2.0,1.0,1.0,2.0,39,4.0,0,1,0,2,0.054,0,1,4,10.591271510516252,0,1,0,0,1,0,0
1,6.0,1.0,8,8.0,2.0,1.0,2.0,2.0,28,1.0,0,2,1,2,0.049,0,1,1,8.84047570093458,0,0,1,0,0,1,0
1,6.0,1.0,6,1.0,2.0,1.0,2.0,1.0,43,3.0,0,2,0,2,0.042,0,2,1,14.194641356542618,0,0,1,0,0,1,0
1,9.0,2.0,7,8.0,2.0,1.0,2.0,2.0,22,1.0,0,1,1,2,0.054,0,1,0,9.287730401529638,0,1,0,0,1,0,1
1,6.0,1.0,8,1.0,1.0,1.0,1.0,2.0,32,1.0,0,0,0,2,0.042,0,0,1,11.509168667466987,0,0,1,0,0,1,0
1,6.0,1.0,12,8.0,1.0,1.0,2.0,1.0,29,1.0,0,0,0,2,0.075,0,1,1,10.02219173200285,0,1,0,0,1,0,0
1,2.0,1.0,7,1.0,2.0,1.0,2.0,1.0,46,1.0,0,1,0,2,0.042,0,2,1,10.741890756302523,0,0,1,0,0,1,0
1,6.0,1.0,7,1.0,2.0,1.0,2.0,1.0,35,2.0,0,1,0,2,0.042,0,1,1,6.368406662665067,0,0,1,0,0,1,1
1,9.0,2.0,24,5.0,2.0,1.0,2.0,2.0,23,0.0,0,0,0,2,0.072,0,0,2,14.849965148698885,1,0,0,1,0,0,1
1,6.0,1.0,6,1.0,2.0,1.0,2.0,2.0,33,1.0,0,1,0,2,0.042,0,0,1,,0,0,1,0,0,1,0
1,12.0,1.0,24,8.0,1.0,1.0,2.0,1.0,21,0.0,0,0,0,2,0.053,0,2,0,8.247,0,1,0,0,1,0,0
